from,to,relation
2,7,2
2,1,2
7,1,2
4,5,2
2,6,0
2,9,0
2,4,0
10,4,1
2,8,0
2,10,0
5,10,2
7,9,1
7,4,0
7,6,0
7,10,0
7,1,0
7,8,0
7,3,0
7,5,0
9,4,0
9,6,0
9,10,1
9,1,0
9,8,0
9,3,0
9,5,0
6,4,0
6,10,0
6,1,0
6,8,0
6,3,0
6,5,0
4,1,0
4,8,0
4,3,2
10,1,0
10,8,0
10,3,1
1,8,0
1,3,1
1,5,1
8,3,0
8,5,1
3,5,2
